2024-12-20 at 12:32:09 | INFO | Найдено 1 записей.
2024-12-20 at 12:41:25 | ERROR | Бот остановлен!
2024-12-20 at 12:41:33 | INFO | Бот успешно запущен.
2024-12-20 at 12:41:38 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:41:38 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:41:46 | ERROR | Ошибка при получении статистики: (sqlite3.OperationalError) near ")": syntax error
[SQL: SELECT count(*) AS total_users, count(case(?)) AS new_today, count(case(?)) AS new_week, count(case(?)) AS new_month]
[parameters: ((<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA687CB30>, 1), (<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA699CF80>, 1), (<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA699D190>, 1))]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2024-12-20 at 12:43:11 | ERROR | Бот остановлен!
2024-12-20 at 12:43:18 | INFO | Бот успешно запущен.
2024-12-20 at 12:43:25 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:43:25 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:43:37 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-20 at 12:43:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5321351707}
2024-12-20 at 12:43:51 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5321351707}
2024-12-20 at 12:43:51 | INFO | Добавление записи User с параметрами: {'telegram_id': 5321351707, 'username': 'yakvenalex', 'first_name': 'Алексей', 'last_name': 'Яковенко'}
2024-12-20 at 12:43:51 | INFO | Запись User успешно добавлена.
2024-12-20 at 12:44:05 | INFO | Статистика успешно получена: {'total_users': 2, 'new_today': 2, 'new_week': 2, 'new_month': 2}
2024-12-20 at 12:47:17 | INFO | Статистика успешно получена: {'total_users': 2, 'new_today': 2, 'new_week': 2, 'new_month': 2}
2024-12-20 at 12:56:50 | ERROR | Бот остановлен!
2024-12-20 at 12:56:59 | INFO | Бот успешно запущен.
2024-12-20 at 12:57:03 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:57:03 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:57:08 | INFO | Статистика успешно получена: {'total_users': 2, 'new_today': 2, 'new_week': 2, 'new_month': 2}
2024-12-20 at 12:57:10 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 12:57:10 | INFO | Найдено 0 записей.
2024-12-20 at 14:04:15 | ERROR | Бот остановлен!
2024-12-20 at 14:04:24 | INFO | Бот успешно запущен.
2024-12-20 at 14:04:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 14:04:26 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 14:04:26 | INFO | Добавление записи User с параметрами: {'telegram_id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko'}
2024-12-20 at 14:04:26 | INFO | Запись User успешно добавлена.
2024-12-20 at 14:04:40 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-20 at 14:04:44 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 14:04:44 | INFO | Найдено 0 записей.
2024-12-20 at 14:06:52 | ERROR | Бот остановлен!
2024-12-20 at 14:07:01 | INFO | Бот успешно запущен.
2024-12-20 at 14:07:38 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 14:07:38 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 14:07:38 | INFO | Добавление записи User с параметрами: {'telegram_id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko'}
2024-12-20 at 14:07:38 | INFO | Запись User успешно добавлена.
2024-12-20 at 14:46:41 | ERROR | Бот остановлен!
2024-12-20 at 14:47:48 | INFO | Бот успешно запущен.
2024-12-20 at 15:11:57 | ERROR | Бот остановлен!
2024-12-20 at 15:12:06 | INFO | Бот успешно запущен.
2024-12-20 at 15:12:28 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:12:28 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:12:33 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:12:33 | INFO | Найдено 0 записей.
2024-12-20 at 15:14:17 | ERROR | Бот остановлен!
2024-12-20 at 15:14:24 | INFO | Бот успешно запущен.
2024-12-20 at 15:14:25 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:14:25 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:14:29 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:14:29 | INFO | Найдено 0 записей.
2024-12-20 at 15:15:18 | ERROR | Бот остановлен!
2024-12-20 at 15:15:25 | INFO | Бот успешно запущен.
2024-12-20 at 15:15:27 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:15:27 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:15:30 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:15:30 | INFO | Найдено 0 записей.
2024-12-20 at 15:21:14 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:21:14 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:21:19 | ERROR | Бот остановлен!
2024-12-20 at 15:21:27 | INFO | Бот успешно запущен.
2024-12-20 at 15:21:29 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:21:29 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:21:34 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-20 at 15:21:36 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:21:36 | INFO | Найдено 0 записей.
2024-12-20 at 15:23:22 | ERROR | Бот остановлен!
2024-12-20 at 15:23:30 | INFO | Бот успешно запущен.
2024-12-20 at 15:23:32 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:23:32 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:23:35 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:23:35 | INFO | Найдено 0 записей.
2024-12-20 at 15:24:10 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:24:10 | INFO | Найдено 0 записей.
2024-12-20 at 15:24:23 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:24:23 | INFO | Найдено 6 записей.
2024-12-20 at 15:27:04 | ERROR | Бот остановлен!
2024-12-20 at 15:27:12 | INFO | Бот успешно запущен.
2024-12-20 at 15:27:13 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:27:13 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:27:17 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:27:17 | INFO | Найдено 0 записей.
2024-12-20 at 15:27:39 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:27:39 | INFO | Найдено 6 записей.
2024-12-20 at 15:29:15 | INFO | Поиск Category с ID: 5
2024-12-20 at 15:29:15 | INFO | Запись с ID 5 найдена.
2024-12-20 at 15:29:28 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:29:28 | INFO | Найдено 0 записей.
2024-12-20 at 15:30:18 | ERROR | Бот остановлен!
2024-12-20 at 15:30:26 | INFO | Бот успешно запущен.
2024-12-20 at 15:30:28 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:30:28 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:30:32 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:30:32 | INFO | Найдено 0 записей.
2024-12-20 at 15:32:03 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:32:03 | INFO | Найдено 0 записей.
2024-12-20 at 15:37:05 | ERROR | Бот остановлен!
2024-12-20 at 15:37:13 | INFO | Бот успешно запущен.
2024-12-20 at 15:37:15 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:37:15 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:37:18 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:37:18 | INFO | Найдено 0 записей.
2024-12-20 at 15:37:33 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:37:33 | INFO | Найдено 6 записей.
2024-12-20 at 15:37:58 | INFO | Поиск Category с ID: 2
2024-12-20 at 15:37:58 | INFO | Запись с ID 2 найдена.
2024-12-20 at 15:40:24 | ERROR | Бот остановлен!
2024-12-20 at 15:40:32 | INFO | Бот успешно запущен.
2024-12-20 at 15:40:36 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:40:36 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:40:39 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:40:39 | INFO | Найдено 0 записей.
2024-12-20 at 15:40:58 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:40:58 | INFO | Найдено 6 записей.
2024-12-20 at 15:42:38 | ERROR | Бот остановлен!
2024-12-20 at 15:42:45 | INFO | Бот успешно запущен.
2024-12-20 at 15:42:49 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:42:49 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:42:52 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:42:52 | INFO | Найдено 0 записей.
2024-12-20 at 15:43:10 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:43:10 | INFO | Найдено 6 записей.
2024-12-20 at 15:43:44 | INFO | Поиск Category с ID: 2
2024-12-20 at 15:43:44 | INFO | Запись с ID 2 найдена.
2024-12-20 at 15:44:39 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:44:39 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:44:42 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:44:42 | INFO | Найдено 0 записей.
2024-12-20 at 15:44:50 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:44:50 | INFO | Найдено 6 записей.
2024-12-20 at 15:48:13 | ERROR | Бот остановлен!
2024-12-20 at 15:48:21 | INFO | Бот успешно запущен.
2024-12-20 at 15:48:23 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:48:23 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:48:26 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:48:26 | INFO | Найдено 0 записей.
2024-12-20 at 15:48:40 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:48:40 | INFO | Найдено 6 записей.
2024-12-20 at 15:49:05 | INFO | Поиск Category с ID: 2
2024-12-20 at 15:49:05 | INFO | Запись с ID 2 найдена.
2024-12-20 at 15:49:57 | ERROR | Бот остановлен!
2024-12-20 at 15:50:06 | INFO | Бот успешно запущен.
2024-12-20 at 15:50:32 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:50:32 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:55:35 | ERROR | Бот остановлен!
2024-12-20 at 15:55:43 | INFO | Бот успешно запущен.
2024-12-20 at 15:55:44 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:55:44 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:55:49 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:55:49 | INFO | Найдено 0 записей.
2024-12-20 at 15:56:07 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:56:07 | INFO | Найдено 6 записей.
2024-12-20 at 15:56:37 | INFO | Поиск Category с ID: 2
2024-12-20 at 15:56:37 | INFO | Запись с ID 2 найдена.
2024-12-20 at 15:56:46 | INFO | Добавление записи Product с параметрами: {'name': 'Новый товар с файлом', 'description': 'Это товар с файлом для примера', 'price': 234, 'category_id': 2, 'file_id': 'BQACAgIAAxkBAAPWZ2VpdNHxkQVGmnlOD_RRH62b8K0AAs5eAAIf-ylLTIZ6jB_PM0w2BA', 'hidden_content': 'Тут демка контента с <b>форматированием</b>'}
2024-12-20 at 15:56:46 | INFO | Запись Product успешно добавлена.
2024-12-20 at 15:59:20 | ERROR | Бот остановлен!
2024-12-20 at 15:59:28 | INFO | Бот успешно запущен.
2024-12-20 at 15:59:32 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:59:32 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 15:59:39 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 15:59:39 | INFO | Найдено 0 записей.
2024-12-20 at 15:59:48 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 15:59:48 | INFO | Найдено 6 записей.
2024-12-20 at 16:00:09 | INFO | Поиск Category с ID: 3
2024-12-20 at 16:00:09 | INFO | Запись с ID 3 найдена.
2024-12-20 at 16:01:34 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:01:34 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:01:38 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 16:01:38 | INFO | Найдено 0 записей.
2024-12-20 at 16:04:19 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 16:04:19 | INFO | Найдено 6 записей.
2024-12-20 at 16:04:56 | INFO | Поиск Category с ID: 2
2024-12-20 at 16:04:56 | INFO | Запись с ID 2 найдена.
2024-12-20 at 16:04:59 | INFO | Добавление записи Product с параметрами: {'name': 'Товар с файлом', 'description': 'Тут пишу короткое описание, которое будут видеть <b>ВСЕ</b>!!', 'price': 782, 'category_id': 2, 'file_id': 'BQACAgIAAxkBAAPxZ2VrYo5-rZjYgyf3_5OADee3NXMAAvJeAAIf-ylL0EIgsKpwdaE2BA', 'hidden_content': 'Спасибо за покупку <u>братаны</u>'}
2024-12-20 at 16:04:59 | INFO | Запись Product успешно добавлена.
2024-12-20 at 16:08:27 | ERROR | Бот остановлен!
2024-12-20 at 16:08:34 | INFO | Бот успешно запущен.
2024-12-20 at 16:08:40 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:08:40 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:08:43 | INFO | Подсчет количества записей Product по фильтру: {}
